companyCode,enablementProcessId,businessTemplateId,licenseAgreementTypeId,shortName,longName,programTypeId,swProdBrandCode,version,release,modification,scheduleName,rfaNumber,announcementDate,genAvailDateLicenseDsw,electronicAvailDate,physicalAvailDate
1,3,8,1,Heather Acosta,Synergistic content-based task-force,4,2,8837,8029,4809,implement innovative info-mediaries,28889342,2022-05-28,2022-06-06,2022-05-19,2022-06-05
2,4,4,2,Ryan Dunn,Profit-focused uniform infrastructure,2,6,215,7261,2733,maximize B2C web services,53595225,2022-06-14,2022-05-30,2022-06-07,2022-06-16
1,3,10,2,Wayne Ashley,Advanced impactful software,2,7,6919,1092,2306,re-contextualize transparent e-markets,28818489,2022-05-30,2022-05-21,2022-05-29,2022-06-02
2,2,15,1,Selena Pitts,Upgradable multimedia flexibility,1,7,6732,8887,2308,scale interactive convergence,53291011,2022-06-15,2022-05-22,2022-06-15,2022-05-26
2,1,14,2,Vanessa Robinson,Synergized hybrid extranet,1,5,9057,4292,8931,facilitate impactful technologies,67645251,2022-06-14,2022-05-21,2022-06-10,2022-05-26
1,3,3,1,David Thompson,Synchronized optimizing middleware,2,10,8463,2631,6625,orchestrate out-of-the-box eyeballs,39622600,2022-06-06,2022-05-27,2022-06-13,2022-06-14
2,1,14,2,Linda Young,Upgradable mobile model,2,2,4363,2053,9074,innovate best-of-breed supply-chains,71464688,2022-06-11,2022-06-07,2022-06-09,2022-06-12
2,2,8,2,Jonathan Rodriguez,Open-source static open system,4,13,858,1862,5215,productize web-enabled communities,99908157,2022-05-29,2022-05-29,2022-06-02,2022-06-02
1,4,12,1,Mackenzie Lamb,Proactive dedicated methodology,2,2,363,9423,6383,syndicate cutting-edge eyeballs,80931836,2022-06-16,2022-06-12,2022-06-10,2022-05-29
2,4,9,2,Chad Pearson,Self-enabling user-facing migration,1,5,8601,7357,3611,target rich infrastructures,36459537,2022-05-26,2022-05-19,2022-05-20,2022-05-25
1,2,11,1,Donna Moore,Reverse-engineered empowering hierarchy,1,7,8779,5633,8992,evolve innovative e-business,10387702,2022-06-14,2022-06-08,2022-05-28,2022-05-29
2,2,6,2,Mrs. Monique Cook DDS,Grass-roots context-sensitive flexibility,3,4,1182,7437,5425,innovate rich experiences,04999416,2022-06-02,2022-06-05,2022-06-06,2022-06-04
2,1,3,2,Corey Vasquez,Balanced incremental benchmark,4,7,2053,2243,6707,maximize compelling bandwidth,23071544,2022-05-28,2022-06-07,2022-05-26,2022-06-15
2,1,12,2,Bruce Miller,Customizable high-level ability,3,3,7722,8898,886,extend innovative initiatives,72668733,2022-06-05,2022-05-30,2022-06-09,2022-05-24
2,4,7,1,Elizabeth Kennedy,Future-proofed even-keeled pricing structure,3,3,2988,1481,7606,evolve mission-critical technologies,73418986,2022-05-26,2022-06-09,2022-05-27,2022-05-27
2,4,14,2,Briana Romero,Right-sized tertiary encryption,3,8,7993,4985,4978,incentivize cross-media portals,45766176,2022-05-29,2022-06-12,2022-06-12,2022-05-24
2,1,5,1,Elizabeth Chambers,Open-source interactive model,1,4,3416,3781,2083,orchestrate compelling action-items,46555120,2022-06-09,2022-05-30,2022-05-30,2022-06-14
1,1,5,2,Denise Foster,Digitized intermediate software,4,9,2800,2618,3564,maximize out-of-the-box communities,94612271,2022-05-27,2022-05-23,2022-05-23,2022-05-22
1,2,6,1,Nicole Rodriguez,Ameliorated coherent conglomeration,4,12,8988,1743,9941,drive dot-com markets,53355669,2022-06-04,2022-06-03,2022-06-06,2022-06-06
2,2,2,2,Valerie Fitzpatrick,Customizable 6thgeneration alliance,4,11,5198,6558,6790,empower 24/365 partnerships,33097022,2022-06-09,2022-06-12,2022-06-16,2022-06-10
2,3,8,2,Julian Vasquez,Configurable actuating attitude,2,8,7374,6066,3260,expedite e-business systems,43990641,2022-06-13,2022-05-25,2022-05-24,2022-06-07
1,1,9,2,April Reyes,Streamlined content-based complexity,2,12,4586,5179,632,redefine distributed paradigms,78586772,2022-06-06,2022-06-08,2022-06-11,2022-06-08
1,4,5,1,Benjamin Hays,Streamlined heuristic definition,2,12,737,4827,5496,envisioneer cross-platform interfaces,35169925,2022-05-23,2022-05-19,2022-05-19,2022-06-11
1,2,10,1,Emily Smith,Re-engineered clear-thinking artificial intelligence,2,9,4689,4184,9156,innovate holistic methodologies,39724977,2022-05-20,2022-05-22,2022-06-09,2022-05-27
1,1,13,2,Charles Shannon,Monitored secondary algorithm,1,2,1393,3387,7694,reinvent bleeding-edge web services,69006401,2022-06-13,2022-06-15,2022-06-12,2022-06-15
2,4,6,1,Miguel Gallegos,Mandatory radical budgetary management,1,12,540,573,773,transform ubiquitous architectures,64512549,2022-05-25,2022-05-22,2022-05-22,2022-06-06
2,3,12,1,Pamela Lopez,Upgradable tertiary artificial intelligence,4,10,3945,187,3516,productize user-centric synergies,42038825,2022-06-16,2022-05-27,2022-05-21,2022-06-14
1,1,6,2,Christopher Murillo,Public-key clear-thinking paradigm,1,13,4568,151,8675,monetize holistic e-commerce,64246314,2022-06-03,2022-05-30,2022-06-04,2022-06-12
1,1,2,1,Gregory Allen,Cross-platform mobile adapter,3,12,584,3262,2810,disintermediate seamless paradigms,56989236,2022-06-14,2022-06-16,2022-05-19,2022-06-10
2,2,3,2,Dr. Mary Deleon,Digitized composite hardware,2,7,2401,6695,4671,evolve 24/365 web-readiness,47777477,2022-05-27,2022-06-13,2022-06-03,2022-06-11
1,2,15,2,Heather Flowers,Horizontal full-range hardware,2,7,6316,6016,7624,expedite intuitive solutions,14109652,2022-05-21,2022-05-21,2022-06-07,2022-06-13
2,3,3,2,Cody Martinez,Robust leadingedge ability,2,7,3697,6676,4115,repurpose open-source channels,14720925,2022-06-12,2022-05-31,2022-05-27,2022-05-19
1,2,9,1,James Lawrence,Inverse fault-tolerant system engine,4,3,6870,547,6023,utilize compelling e-business,44663612,2022-05-24,2022-06-12,2022-05-30,2022-05-23
1,3,15,2,Anna Wilson,Implemented executive approach,2,7,9299,9500,5012,transition distributed networks,54430853,2022-06-01,2022-06-07,2022-05-19,2022-06-08
2,2,15,2,Christopher Alexander,Operative homogeneous structure,1,8,5719,4371,790,synthesize dynamic synergies,45100116,2022-06-14,2022-05-20,2022-06-10,2022-06-07
1,4,2,2,Nicholas Mcgee,Operative systemic Graphical User Interface,3,3,4864,9483,3091,expedite integrated web-readiness,26335186,2022-05-20,2022-05-26,2022-06-14,2022-06-15
